,Importance
Close,0.034073565155267715
Open,0.10050403326749802
High,0.013864102773368359
Low,0.022101324051618576
Volume,9.121915354626253e-06
Adj Close,0.005633585155010223
pct_change,3.141376737403334e-06
log_change,0.0
7ma,0.1281905323266983
14ma,0.01059297751635313
21ma,0.0
7macd,0.0
14macd,0.0
7rsi,8.548072969460918e-07
14rsi,2.138545096386224e-05
21rsi,1.8945187321151025e-06
7atr,0.0
14atr,5.504097657649254e-07
21atr,0.00013718646368943155
7upper,0.3435056805610657
7lower,0.003002305282279849
14upper,0.03305761143565178
14lower,0.016263555735349655
21upper,0.2813997268676758
21lower,0.0028578077908605337
7rsv,0.0
14rsv,0.0
21rsv,3.265660780016333e-06
FT_3components,0.0029396265745162964
FT_6components,0.0
FT_9components,0.00011247915244894102
FT_27components,0.0004722000448964536
FT_81components,0.0007332063396461308
FT_100components,0.0005183546454645693
